Time: 2023-07-14 20:30:01.937936, Result: No human, Confidence: 0.962208
Time: 2023-07-14 20:30:03.596428, Result: No human, Confidence: 0.962539
Time: 2023-07-14 20:30:10.467223, Result: No human, Confidence: 0.954741
Time: 2023-07-14 20:30:12.203906, Result: No human, Confidence: 0.945715
Time: 2023-07-14 20:30:18.957118, Result: No human, Confidence: 0.913893
Time: 2023-07-14 20:30:21.289000, Result: No human, Confidence: 0.915199
Time: 2023-07-14 20:30:28.163817, Result: No human, Confidence: 0.919993
Time: 2023-07-14 20:30:29.894310, Result: No human, Confidence: 0.925889
Time: 2023-07-14 20:30:36.603888, Result: No human, Confidence: 0.929745
Time: 2023-07-14 20:30:38.279301, Result: No human, Confidence: 0.934519
Time: 2023-07-14 20:30:44.942897, Result: No human, Confidence: 0.954246
Time: 2023-07-14 20:30:46.611537, Result: No human, Confidence: 0.956696
Time: 2023-07-14 20:30:54.137427, Result: No human, Confidence: 0.965312
Time: 2023-07-14 20:30:55.807396, Result: No human, Confidence: 0.961771
Time: 2023-07-14 20:31:02.442292, Result: No human, Confidence: 0.960617
Time: 2023-07-14 20:31:04.182000, Result: No human, Confidence: 0.960718
Time: 2023-07-14 20:31:10.993904, Result: No human, Confidence: 0.950638
Time: 2023-07-14 20:31:12.679308, Result: No human, Confidence: 0.951548
Time: 2023-07-14 20:31:19.321539, Result: No human, Confidence: 0.942024
Time: 2023-07-14 20:31:21.755150, Result: No human, Confidence: 0.938770
Time: 2023-07-14 20:31:28.838911, Result: No human, Confidence: 0.928659
Time: 2023-07-14 20:31:31.079078, Result: No human, Confidence: 0.928245
Time: 2023-07-14 20:31:38.297531, Result: No human, Confidence: 0.927945
Time: 2023-07-14 20:31:40.048709, Result: No human, Confidence: 0.939174
Time: 2023-07-14 20:31:46.895952, Result: No human, Confidence: 0.949575
Time: 2023-07-14 20:31:48.632911, Result: No human, Confidence: 0.951295
Time: 2023-07-14 20:31:56.102843, Result: No human, Confidence: 0.958638
Time: 2023-07-14 20:31:57.867639, Result: No human, Confidence: 0.961545
